Keuwl Accelerometer Data File
2017-08-23 10-29-43

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
3.2899766,-2.114080,-10.697293,0.523133,10.916735,87.253319,258.820831
3.2999470,-2.084153,-10.362105,0.361524,10.575804,88.041016,258.627716
3.3100026,-2.298434,-10.035296,0.055067,10.295290,89.693542,257.099762
3.3199394,-2.410961,-9.761160,0.148441,10.055596,89.154167,256.125885
3.3299432,-2.416947,-9.494206,-0.081403,9.797358,90.476059,255.717545
3.3399410,-2.331953,-9.191340,-0.292093,9.487047,91.764336,255.763763
3.3499556,-2.116474,-8.797494,-0.447716,9.059570,92.832657,256.473022
3.3600082,-1.759738,-8.348581,-0.544681,8.549396,93.652779,258.097260
3.3699322,-1.371878,-7.876924,-0.620098,8.019507,94.434753,260.120239
3.3799548,-0.954089,-7.425617,-0.735020,7.522654,95.607178,262.678406
3.3899381,-0.538695,-6.897695,-0.891840,6.975942,97.345085,265.534393
3.3999560,-0.138864,-6.305130,-0.986411,6.383334,98.889488,268.738312
3.4099407,0.173580,-5.767632,-1.015141,5.858859,99.977768,271.723816
3.4200847,0.395043,-5.294777,-0.934936,5.391181,99.986694,274.266937
3.4299471,0.551863,-4.904522,-0.774524,4.995876,98.918694,276.419983
3.4399912,0.616507,-4.623203,-0.554258,4.696945,96.776917,277.595612
3.4499404,0.597353,-4.446033,-0.254982,4.493223,93.253181,277.652222
3.4599407,0.481235,-4.374207,0.128090,4.402462,88.332741,276.278229
3.4700634,0.268151,-4.406528,0.586579,4.453478,82.431427,273.482330
3.4799597,-0.038307,-4.559757,1.169568,4.707520,75.614388,269.518646
3.4899678,-0.447716,-4.863821,1.927332,5.250886,68.466270,264.740723
3.4999387,-0.949301,-5.300763,2.926912,6.129117,61.475002,259.846680
3.5100777,-1.570596,-5.914876,4.197036,7.420757,55.557384,255.129227
3.5199594,-2.329558,-6.713342,5.595249,9.044479,51.783333,250.863007
3.5299728,-3.187880,-7.679402,6.561310,10.591816,51.722576,247.455643
3.5399361,-4.128801,-8.765172,7.193379,12.067308,53.408577,244.777405
3.5499606,-4.978743,-9.740809,7.480683,13.252617,55.634617,242.927429
3.5599353,-5.562928,-10.352529,7.617153,14.005072,57.051479,241.748657
