Time,X,Y,Z
6.2798,-3.4824,9.8342,3.644
6.2899,-3.5326,10.1658,4.1348
6.2998,-3.4393,10.3789,4.6244
6.3098,-3.237,10.5117,4.9668
6.3199,-2.9975,10.7751,5.0889
6.3298,-2.824,11.2527,4.9907
6.3399,-2.8359,11.8824,4.8267
6.3498,-2.9892,12.4894,4.7525
6.3598,-3.201,13.0568,4.6603
6.3699,-3.3902,13.2555,4.6304
6.3799,-3.699,13.0352,4.4556
6.3898,-3.9492,12.5277,4.2629
6.3998,-3.9397,11.8429,4.0223
6.4098,-3.8535,11.2037,3.2908
6.4198,-3.814,10.7081,2.3798
6.4299,-3.7601,10.331,1.64
6.4399,-3.6607,9.9766,1.1947
6.4499,-3.6332,9.7252,0.893
6.4599,-3.6955,9.5804,0.7638
6.4698,-3.9241,9.5421,0.7338
6.4799,-4.3167,9.578,0.7649
6.4899,-4.6878,9.6522,0.8918
6.4999,-4.8926,9.7312,1.0606
6.5099,-4.9859,9.8031,1.2007
6.5199,-5.0015,9.8342,1.3455
6.5299,-4.9596,9.815,1.4964
6.5399,-4.859,9.7336,1.658
6.5498,-4.6867,9.4763,1.7394
6.5599,-4.464,9.0202,1.7418
6.5699,-4.3179,8.7771,1.7142
6.5802,-4.2186,8.9136,1.64
6.5899,-3.9504,8.9699,1.6568
6.5998,-3.5841,8.8789,1.6532
6.6099,-3.1879,8.6945,1.5215
6.6199,-2.8084,8.5269,1.3503
6.63,-2.4385,8.3713,1.1959
6.6399,-2.0734,8.169,1.087
6.65,-1.7322,7.9715,0.9744
6.6599,-1.4269,7.7752,0.9026
6.6699,-1.2498,7.6375,0.8882
6.6799,-1.0714,7.5214,0.8559
6.6899,-0.9146,7.4532,0.893
6.6999,-0.7877,7.3586,0.8104
6.7099,-0.844,7.4232,0.8799
6.7198,-0.899,7.4627,0.8978
6.73,-0.9661,7.519,0.9469
6.7399,-1.0714,7.598,1.1133
6.7498,-1.154,7.6579,1.251
